review_number,username,ratings,purchase_date,item_variation,location,review_content,has_image,subreview_sub 0_category,subreview_sub 0_content,subreview_sub 1_category,subreview_sub 1_content,subreview_sub 2_category,subreview_sub 2_content,original_file,original_review_key
410,s*****4,5,2025-05-10 11:24,,Indonesia,"The package arrived in good condition, the delivery took a while, the color is the same as in the picture, the size fits Bb 43kg & Tb 153cm I use size s length 88 cm",True,,,,,,,results2.json,review 317
411,i*****h,5,2025-04-09 21:32,,Indonesia,,True,,,,,,,results2.json,review 318
412,d*****8,5,2025-04-27 21:11,,Indonesia,It's good that the material is thick and not see through because the inside has puring🥰,True,,,,,,,results2.json,review 319
413,y*****o,5,2025-06-20 09:33,,Indonesia,"The skirt is cute, the model is beautiful, the color is very soft.. I really like it.",True,,,,,,,results2.json,review 320
414,l*****3,5,2024-12-26 11:29,,Indonesia,"The skirt is according to the photo, the material is also quite thick and has fallen off, hopefully it fits me",True,,,,,,,results2.json,review 321
415,h*****7,5,2025-03-18 12:56,,Indonesia,Nuhun Hopefully durable and comfortable,True,,,,,,,results2.json,review 322
416,l*****i,5,2024-08-04 12:33,,Indonesia,"Thank you, the package arrived on time, I like the skirt. It fits the price. Thank you 😊",True,,,,,,,results2.json,review 323
417,m*****a,5,2025-01-22 14:08,,Indonesia,"Good product, fast delivery. Satisfied shopping!",True,,,,,,,results2.json,review 324
418,l*****w,5,2024-10-16 11:29,,Indonesia,"It's really good, the length is just right, wow, you need to iron it so there's a ruffle",True,,,,,,,results2.json,review 325
419,l*****8,5,2025-03-26 15:26,,Indonesia,"It's really good, the length is just right",True,,,,,,,results2.json,review 326
420,n*****3,5,2025-03-26 19:28,,Indonesia,The skirt is nice and petiete friendly. can be used for big bb too,True,,,,,,,results2.json,review 327
421,v*****_,4,2024-12-18 19:45,,Indonesia,Turns out the canvas material is ok,True,,,,,,,results2.json,review 328
422,a*****5,5,2024-08-30 09:56,,Indonesia,"I really like the skirt, it matches the photo and it's cute when I wear it",True,,,,,,,results2.json,review 329
423,m*****w,5,2025-01-09 12:59,,Indonesia,"It already has a lining inside so you don't have to worry about being dreamy, it's really safe👍",True,,,,,,,results2.json,review 330
424,l*****1,5,2025-05-29 19:43,,Indonesia,"Very good, I like it because it's a bit thick and comfortable and doesn't make you hot",True,,,,,,,results2.json,review 331
425,s*****i,5,2024-12-01 14:57,,Indonesia,"The skirt fits perfectly with the picture, I'm very satisfied, the length is also very suitable for me who doesn't like hanging",True,,,,,,,results2.json,review 332
426,d*****2,5,2025-03-09 16:31,,Indonesia,"Really Recommended, thank you",True,,,,,,,results2.json,review 333
427,a*****a,5,2024-12-16 11:10,,Indonesia,The material is soft. This is my second color,True,,,,,,,results2.json,review 334
428,w*****_,5,2024-12-30 11:06,,Indonesia,"The skirt is good, the stitching is neat, and the skirt has puring so I'm not afraid to see through.",True,,,,,,,results2.json,review 335
429,r*****a,5,2024-10-03 14:45,,Indonesia,"The material is thick, not see through because it uses furing
There's only a stain on the skirt",True,,,,,,,results2.json,review 336
430,b*****6,5,2025-06-19 12:16,,Indonesia,"Finally found a skirt that fits perfectly, it's really good to wear, those who have entered the basket, let's go straight to it",True,,,,,,,results2.json,review 337
431,r*****3,5,2025-05-09 12:48,,Indonesia,"The skirt is good, there is furing too. the length is just right. I'm 165+ tall, it fits my feet",True,,,,,,,results2.json,review 338
432,s*****_,5,2025-06-23 17:34,,Indonesia,"I'm not dreamy because there is furing, it's really good next time I buy again",True,,,,,,,results2.json,review 339
433,a*****i,5,2025-04-19 10:11,,Indonesia,"It's really good... it doesn't disappoint
For those who have tb 170 bb 80, use the long 103, it's just right, guys",True,,,,,,,results2.json,review 340
434,i*****h,5,2025-04-09 21:30,,Indonesia,,True,,,,,,,results2.json,review 341
435,3*****b,5,2025-05-29 22:45,,Indonesia,"It's really good, I thought it was too long for tb 163, in fact it fits really well",True,,,,,,,results2.json,review 342
436,e*****7,5,2025-05-18 10:07,,Indonesia,Order arrived safely and on time,True,,,,,,,results2.json,review 343
437,n*****9,5,2025-02-01 22:18,,Indonesia,"For what it's really good, want to CO other colors, it's really good, don't hesitate if you buy it",True,,,,,,,results2.json,review 344
438,a*****h,5,2025-03-09 21:20,,Indonesia,"The skirt is really good, I'll wear it for the book later! Want to buy the bw color too later pls",True,,,,,,,results2.json,review 345
439,a*****7,5,2024-12-14 07:23,,Indonesia,"Soft linen. Thick but not heavy. It has furing and is thick. Safe not see through. The color is beautiful, it can match other clothes. Thanks seller",True,,,,,,,results2.json,review 346
440,e*****m,5,2024-09-10 15:32,,Indonesia,"Finally the item arrived..
Very fast delivery, very good..
Thank you seller 😊",True,,,,,,,results2.json,review 347
441,l*****p,5,2025-03-26 22:16,,Indonesia,"Good as expected, really beautiful 👍🏻I've been looking for it for a long time, finally found it hehe",True,,,,,,,results2.json,review 348
442,v*****a,5,2025-01-28 11:34,,Indonesia,"The stitching is neat, it's cute, there's a puring, it's not see-through, it's good 👌🏻 Very interesting.....",True,,,,,,,results2.json,review 349
443,l*****o,5,2024-10-31 23:41,,Indonesia,"Product arrived in good condition
Thank you seller",True,,,,,,,results2.json,review 350
444,d*****a,5,2024-10-31 09:42,,Indonesia,"This is so good huh🥺💗 3 days fast delivery, bro, bought it for a photo with the gobli theme, it's really good",True,,,,,,,results2.json,review 351
445,s*****k,5,2025-06-23 11:49,,Indonesia,"The second skirt order has arrived. It's good but something doesn't fit the right pocket, the hole is too small, the hole doesn't fit in the hand😌",True,,,,,,,results2.json,review 352
446,n*****8,5,2025-03-18 00:42,,Indonesia,"It's thick so it's not see-through, it's not too big to grow",True,,,,,,,results2.json,review 353
447,d*****_,5,2024-07-24 20:51,,Indonesia,"The skirt is good, the material is good, hopefully it fits and fits well",True,Styling,  good,,,,,results2.json,review 354
448,m*****7,5,2025-05-27 03:09,,Indonesia,,True,,,,,,,results2.json,review 355
449,r*****m,5,2024-07-22 12:18,,Indonesia,"For a skirt range of 100 thousand, it's really good
The ironing is a bit complicated, you know, if you've had this material, you'll know",True,Styling,  okay,,,,,results2.json,review 356
450,f*****h,4,2024-11-15 18:57,,Indonesia,"Height 155 I think is a bit hanging
But if you like to hang it, it's okay
The thickness of the fabric is according to the price
Yep",True,,,,,,,results2.json,review 357
451,v*****s,5,2025-03-15 14:13,,Indonesia,"It's really good but on me it's a bit hanging not long enough 
There is also a furing plus there are 2 pockets 🤩💕🥰",True,,,,,,,results2.json,review 358
452,r*****2,5,2024-09-16 19:25,,Indonesia,"Thank you seller, the skirt is comfortable to wear.",True,,,,,,,results2.json,review 359
453,c*****h,5,2024-12-15 12:55,,Indonesia,"Thank God it arrived, I really like it, it's not too see-through, it's suitable to mix and match with any color",True,,,,,,,results2.json,review 360
454,a*****a,4,2024-11-09 11:32,,Indonesia,,True,,,,,,,results2.json,review 361
455,m*****a,4,2024-10-12 13:38,,Indonesia,"The skirt is nice, but on me it looks really fat😭",True,,,,,,,results2.json,review 362
456,m*****1,5,2025-02-28 06:50,,Indonesia,"It's good, complete with furing, you get a special price under 100k, it's really good, thank you sis",True,,,,,,,results2.json,review 363
457,n*****r,5,2024-12-06 21:36,,Indonesia,"As expected, the skirt is stretchy and not see through because there is furing. For tb 165, it hangs a bit above the ankles but its okay, you can use it below the hips",True,,,,,,,results2.json,review 364
458,q*****o,5,2025-01-06 18:13,,Indonesia,Very beautiful and fits almost in various colors of tops,True,,,,,,,results2.json,review 365
459,y*****h,5,2025-04-12 09:58,,Indonesia,"The SKIRT IS SO CUTE. I'm TB 166 WITH SIZE S-M 96 cm IT WAS A LITTLE HANGING, BUT IT CAN STILL BE TOLERLERIR😘

I DON'T KNOW WHY MORE HERE THE FURING LONG OVER THE SHIRT LONG. So IMPRESSED LESS NEAT🙏🏻",True,,,,,,,results2.json,review 366
460,s*****t,5,2024-11-08 13:55,,Indonesia,I like the skirt but there are products that have not been sent because of their negligence and the admin is super fast in responding to my chat. Thank you,True,,,,,,,results2.json,review 367
461,v*****a,4,2024-08-14 03:48,,Indonesia,"For this price, it's too thin, yes, yesterday they said it would fit up to BB 65's but it seems narrow at BB 60's TB 155.",True,,,,,,,results2.json,review 368
462,f*****0,5,2025-03-21 09:34,,Indonesia,The length is just right for tb 153 bb 45,True,,,,,,,results2.json,review 369
463,n*****1,5,2024-08-21 11:16,,Indonesia,"The skirt has furing, the material is linen, but it's very comfortable to wear 🥺. Thank youu",True,,,,,,,results2.json,review 370
464,s*****i,5,2025-03-09 14:27,,Indonesia,"The skirt is so cute, you have to buy another color😖💓",True,,,,,,,results2.json,review 371
465,a*****n,5,2025-04-05 21:30,,Indonesia,"The material is cool cotton, not transparent, the stitching is also neat, but on my 160 tb it hangs a bit so I lowered it a little",True,,,,,,,results2.json,review 372
466,a*****i,5,2025-01-27 02:24,,Indonesia,"I really like it, even though it looks a bit stiff but it's not!! The material is cool, but it's a little too long for me, but it's okay, overall it's good",True,,,,,,,results2.json,review 373
467,w*****h,5,2025-04-08 21:20,,Indonesia,"The material is good, it's not see-through at all, but in my opinion it's quite long, but overall it's really cute",True,,,,,,,results2.json,review 374
468,y*****h,5,2025-04-12 10:12,,Indonesia,The SKIRT IS VERY BEAUTIFUL FROM THE SAME COLOR MATERIAL ❤️❤️❤️😘😘😘😘,True,,,,,,,results2.json,review 375
469,i*****a,5,2025-03-07 15:49,,Indonesia,It's arrived and it's great,True,,,,,,,results2.json,review 376
470,b*****y,3,2025-04-28 10:09,,Indonesia,I got a hole in the seam,True,,,,,,,results2.json,review 377
471,n*****1,5,2025-03-06 11:41,,Indonesia,,True,,,,,,,results2.json,review 378
472,r*****0,5,2024-09-01 19:18,,Indonesia,,True,,,,,,,results2.json,review 379
473,d*****8,5,2025-03-21 17:35,,Indonesia,"The item arrived safely, the size is right, the look is exactly what I wanted, like a princess skirt and the color is right. Delivery is also fast",True,,,,,,,results2.json,review 380
474,i*****h,5,2024-11-02 02:20,,Indonesia,,True,,,,,,,results2.json,review 381
475,d*****i,5,2025-02-14 14:55,,Indonesia,"It's really good, I really like it and it doesn't disappoint, thank you 🙏😊",True,,,,,,,results2.json,review 382
476,a*****_,5,2025-03-13 09:04,,Indonesia,,True,,,,,,,results2.json,review 383
477,,5,2025-05-08 06:38,,Indonesia,"Buy it again because it's really that good, thick and not see through, the material is cool too",True,,,,,,,results2.json,review 384
478,t*****h,5,2024-12-14 13:19,,Indonesia,It's good and you don't need to use inner because it's already plus furing,True,,,,,,,results2.json,review 385
479,y*****n,5,2025-05-22 15:23,,Indonesia,"It's really good, but I chose the wrong size, I should have bought the 88cm one for 161cm tb🫠",True,,,,,,,results2.json,review 386
480,l*****n,5,2025-02-06 13:37,,Indonesia,According to the picture description,True,,,,,,,results2.json,review 387
481,a*****m,5,2024-12-17 14:27,,Indonesia,"The material and color are good, hope it fits well. A little dreamy",True,,,,,,,results2.json,review 388
482,s*****m,5,2025-01-21 15:11,,Indonesia,"Worth the price. I like the material, the color is beautiful too. thank you sis",True,,,,,,,results2.json,review 389
483,m*****i,5,2024-12-27 18:56,,Indonesia,,True,,,,,,,results2.json,review 390
484,r*****2,5,2025-05-11 19:59,,Indonesia,"I like the material, the furing is not hot. Pass length 👍🏻",True,,,,,,,results2.json,review 391
485,n*****a,5,2025-03-28 20:24,,Indonesia,"The skirt is good, not see-through",True,,,,,,,results2.json,review 392
486,w*****2,5,2025-06-03 19:47,,Indonesia,"As expected, length 103 and maxi",True,,,,,,,results2.json,review 393
487,a*****a,5,2024-12-02 18:49,,Indonesia,The skirt is so pretty. Thank you,True,,,,,,,results2.json,review 394
488,h*****_,4,2024-11-08 09:20,,Indonesia,,True,,,,,,,results2.json,review 395
489,l*****_,5,2025-05-16 12:57,,Indonesia,"Like pollll. really like it more 
You have to buy it. This looks so elegant, especially the top is a bit cropped. suitable",True,,,,,,,results2.json,review 396
490,s*****9,5,2025-06-19 17:50,,Indonesia,"It's good, the material is thick, not see through, I don't regret buying it at this shop..",True,,,,,,,results2.json,review 397
491,k*****a,5,2025-05-25 16:32,,Indonesia,"Very good, no damage at all, as expected, finally got this item too",True,,,,,,,results2.json,review 398
492,r*****a,3,2025-03-14 01:07,,Indonesia,"Many stitches are not neat, there is a black lining back again, the stitches are not neat, the line is quite thick, just not smooth",True,,,,,,,results2.json,review 399
493,m*****1,5,2024-11-15 11:50,,Indonesia,,True,,,,,,,results2.json,review 400
494,y*****a,5,2025-02-03 20:24,,Indonesia,"First try the skirt here, hopefully it will last and become your favorite skirt. next time I will order another color",True,,,,,,,results2.json,review 401
495,d*****g,5,2025-03-10 19:03,,Indonesia,"Very good as ordered 
The material is thick and the stitching is very neat",True,,,,,,,results2.json,review 402
496,m*****m,5,2025-01-27 21:19,,Indonesia,,True,,,,,,,results2.json,review 403
497,d*****a,5,2024-09-10 12:57,,Indonesia,"Neat stitching, trendy design, the material has a puring so it's not see-through",True,,,,,,,results2.json,review 404
498,c*****x,5,2024-12-30 13:24,,Indonesia,"The skirt is really good, I thought it would fit, it fits well",True,,,,,,,results2.json,review 405
499,v*****n,5,2024-11-15 00:06,,Indonesia,,True,,,,,,,results2.json,review 406
500,r*****a,5,2025-05-09 21:16,,Indonesia,"This is my second time shopping at this store, thank God I'm very satisfied",True,,,,,,,results2.json,review 407
501,d*****6,5,2025-07-10 19:23,,Indonesia,,True,,,,,,,results2.json,review 408
502,r*****3,5,2025-05-14 12:30,,Indonesia,"Very good... thick, modern, really like it🫠",True,,,,,,,results2.json,review 409
503,h*****m,5,2025-01-17 19:40,,Indonesia,"Overall good as expected, thank you seller",True,,,,,,,results2.json,review 410
504,a*****n,5,2025-05-18 14:07,,Indonesia,"The skirt is so beautiful, so puffy. This long maxi one is suitable for those who are 165+ tall, if it's below it, it seems too long, the plus point is that there is furing, guys, so there's no nerawang club🤩",True,,,,,,,results2.json,review 411
505,m*****c,5,2024-10-06 20:25,,Indonesia,Suitable for ootd in hot weather,True,,,,,,,results2.json,review 412
506,l*****a,5,2024-10-12 23:13,,Indonesia,"Tomorrow I want to buy it again but the long one is 90, it's a bit thin",True,,,,,,,results2.json,review 413
507,m*****7,5,2024-10-09 16:08,,Indonesia,,True,,,,,,,results2.json,review 414
508,e*****a,5,2025-05-23 11:38,,Indonesia,Arrive safely. I like it and am very satisfied with the color as expected. The top Material is furing. Recommendation,True,,,,,,,results2.json,review 415
509,p*****h,5,2025-05-17 17:31,,Indonesia,"I'm 163cm tall and 65kg. Wear size L-XXXL, it fits perfectly. Her waist is not narrow. The material is good. The price is cheap. will buy again sikkkkk",True,,,,,,,results2.json,review 416
510,n*****_,5,2025-06-20 03:48,,Indonesia,"The skirt is beautiful, how come the color fades once washed 🥲",True,,,,,,,results2.json,review 417
511,r*****a,5,2025-01-20 12:03,,Indonesia,"This skirt looks a bit fat, so I'm smart in styling. There are also two pockets on the left and right.",True,,,,,,,results2.json,review 418
512,a*****i,5,2024-11-09 18:57,,Indonesia,,True,,,,,,,results2.json,review 419
513,c*****6,4,2024-11-17 11:57,,Indonesia,"Nice skirt, beautiful color. for this size tb 162's bb 58 fits really well. only the waist is stretchy so it looks a bit bulky when you wear it, but hopefully it can be tricked by choosing the top.",True,,,,,,,results2.json,review 420
514,a*****i,5,2025-06-05 16:08,,Indonesia,Didn't expect the material to be this good. Pdhl the price is cheap. Not see through at all because there is furing.,True,,,,,,,results2.json,review 421
515,n*****1,5,2025-02-28 21:44,,Indonesia,"There is a lining inside so you don't have to wear underwear anymore, okay, hihi, the ingredients are good for tb 157, not too short, not too long, safe and fits perfectly to combine cute outfits",True,,,,,,,results2.json,review 422
516,3*****i,5,2025-02-05 08:14,,Indonesia,"It's really good, the material is thick and has furing, the delivery is fast too🥰🥰",True,,,,,,,results2.json,review 423
517,m*****t,5,2024-10-31 23:28,,Indonesia,"Tb 158 wears a length of 88 just right, this is really good, the material is thick. very cute love it❤️",True,,,,,,,results2.json,review 424
518,_*****y,5,2024-09-13 15:59,,Indonesia,Thank you for arriving. Materials and colors match. Size fits bb80 tb160.,True,,,,,,,results2.json,review 425
519,a*****5,5,2025-03-27 18:56,,Indonesia,"So far so good, one day it came right away",True,,,,,,,results2.json,review 426
520,d*****_,5,2025-03-02 04:37,,Indonesia,"It doesn't disappoint for the first purchase, the fabric is good, the stitching is neat, there is even furing too.",True,,,,,,,results2.json,review 427
521,z*****6,5,2025-05-16 12:16,,Indonesia,"+ nice
+ thick
+ the length is also right for me tb 160cm
+ after washing it doesn't make it wrinkled 

- easy to tangle",True,,,,,,,results2.json,review 428
522,2*****l,5,2024-11-06 16:26,,Indonesia,"It's funny, the linen material will definitely wrinkle quickly, for those who have a triangular body model like me, it's really good to wear it because it fills the hips so that they are parallel to our shoulders, the proportions of the body are just right",True,,,,,,,results2.json,review 429
523,s*****4,4,2025-05-07 22:58,,Indonesia,,True,,,,,,,results2.json,review 430
524,n*****6,5,2024-10-25 13:21,,Indonesia,"Very good sorry sorry sorry🥹 Feel beautiful wearing this skirt hahahaha😭😭 Very happy. Thank you, Sis, for making a skirt like this at a low price😭❤️",True,,,,,,,results2.json,review 431
525,h*****o,5,2025-02-12 10:11,,Indonesia,Make a height of 163 when it doesn't count 🤩 The color is so cute 🥰,True,,,,,,,results2.json,review 432
526,d*****r,5,2025-05-04 11:15,,Indonesia,"The skirt is good, the material is cool and not see through because there is a lining.. the stitching is strong and neat, when worn it is nice and elegant.",True,,,,,,,results2.json,review 433
527,s*****i,5,2025-07-10 16:14,,Indonesia,"The skirt is good, even though the color is bw but it's not see through, the material is also quite thick",True,,,,,,,results2.json,review 434
528,s*****y,5,2025-05-06 14:13,,Indonesia,"Made to order, bone white. There is furing. Thank you very much admin",True,,,,,,,results2.json,review 435
529,a*****a,5,2025-06-21 21:50,,Indonesia,I really like being my daily skirt😍🤗😘,True,,,,,,,results2.json,review 436
530,h*****9,5,2025-03-14 19:42,,Indonesia,"I want to have all the colors, oh my god pls",True,,,,,,,results2.json,review 437
531,x*****a,5,2025-01-19 08:06,,Indonesia,"It's good, it fits for tb 164, the white color is a bit see-through even though there is furing but it's still safe",True,,,,,,,results2.json,review 438
532,z*****6,5,2025-07-11 13:11,,Indonesia,,True,,,,,,,results2.json,review 439
533,w*****7,5,2024-10-13 18:14,,Indonesia,"I'm the most happy if I buy a skirt that doesn't hang and this product fits my expression, I'm very happy, it's good too",True,,,,,,,results2.json,review 440
534,d*****4,5,2024-12-20 01:40,,Indonesia,"It's really good, it's not see-through, but if you wear leggings with bright colors, you'll see it
I took it at 96cm a bit too long, it will fit at 88cm
My tb is 158cm, if my bb doesn't matter because the skirt is a rubber model",True,,,,,,,results2.json,review 441
535,h*****o,5,2025-06-06 13:08,,Indonesia,"Cute pol, already have two cania skirts in bw and gray black, even though the material is linen which wrinkles easily, but it's comfortable to wear. What I like is that he doesn't see through because it has furing.",True,,,,,,,results2.json,review 442
536,d*****1,5,2025-03-04 12:13,,Indonesia,"The skirt is really nice, but it's a shame it's too short for me huhu",True,,,,,,,results2.json,review 443
537,a*****x,5,2025-02-23 19:57,,Indonesia,"It's really good, ouch, the fabric isn't tight, so it's pretty see-through but there's underwear and the minus is that there's still a lot of waste thread but it's already solid, I'll buy it again later if it's as beautiful as this",True,,,,,,,results2.json,review 444
538,a*****r,5,2025-01-13 11:44,,Indonesia,"It's really good, the material is not hot, it's not rough, there's a lining inside",True,,,,,,,results2.json,review 445
539,r*****n,3,2025-05-05 17:13,,Indonesia,"Not as expected, the material feels heavy because the inside has a stiff hot puring like a burlap sack the first time I ordered but it was disappointing, dmn2 stitches",True,,,,,,,results2.json,review 446
540,n*****5,5,2024-09-15 14:46,,Indonesia,"Pls VERY GOOD THE SKIRT IS VERY GOOD, I LIKE IT SO MUCH, THE MATERIALS ARE TEBELL GOOD POLL😻💗💗💗💗💗💗💗💗",True,,,,,,,results2.json,review 447
541,r*****a,4,2025-05-25 14:58,,Indonesia,It's good to have furing so it's not see through!. Bb 43 Tb 160 the length is just right not too long not too short🫶🏻,True,,,,,,,results2.json,review 448
542,n*****_,5,2025-06-23 21:24,,Indonesia,,True,,,,,,,results2.json,review 449
543,d*****n,5,2025-05-08 06:51,,Indonesia,"The order is correct.. the skirt is comfortable to wear, not see-through because it has furing and a pocket too",True,,,,,,,results2.json,review 450
544,3*****a,5,2025-01-28 14:35,,Indonesia,"On me, who is tb 150 bb 47 uk S-M, it's not too long (because it's hard to find a skirt for petite ;) the skirt is nice😔💗 Will repeat order when""🙌",True,,,,,,,results2.json,review 451
545,i*****7,5,2025-03-13 05:14,,Indonesia,"The material is thick and there is another layer inside so it's not see-through, for TB 158 it fits",True,,,,,,,results2.json,review 452
546,o*****3,5,2024-12-13 16:35,,Indonesia,"Actually the material is good, it's just that I hang it above the ankles of the skirt huhu",True,,,,,,,results2.json,review 453
547,k*****1,5,2025-06-06 19:14,,Indonesia,"Aaaa so cuteee original, really this is the skirt I'm looking for looks like in pinterest2, it's really cute and has a lining, it's not too hot, in the video it might look thin but it's not actually, aaa love it💗",True,,,,,,,results2.json,review 454
548,p*****u,5,2025-04-20 08:50,,Indonesia,"The skirt is really comfortable :) I purposely took the size for the 90's, because if you take a longer one, it will be too big because I'm short, but the waist is a bit big, it's a risk of being skinny, wow, overall it's very comfortable :) not see-through and light, Move more freely",True,,,,,,,results2.json,review 455
549,v*****s,5,2025-03-20 06:13,,Indonesia,"Actually the skirt is good, the material is not less top than the more expensive one. but for gemoy people, it seems that wearing a skirt like this is not very good, the problem is that it grows up.",True,,,,,,,results2.json,review 456
550,n*****2,5,2024-10-19 19:08,,Indonesia,The goods have arrived safely.. the skirt is good.. recommended... for those who want to buy..,True,,,,,,,results2.json,review 457
551,m*****a,5,2025-05-07 20:59,,Indonesia,"The skirt is really good, so cute. Fits on my 158 body, cm is a bit tight on the stomach because my stomach is quite distended. Thanks",True,,,,,,,results2.json,review 458
552,q*****z,5,2025-05-27 12:51,,Indonesia,"Oh this is crazy.. Bought it when it was live and it was actually sent right away.. Order now, come today please.. Where is it so cute wow.. It's really Worth having this and you can't buy 1, trust me.. I just bought 2, it's still not enough.. Insha Allah next month black and choco yaa.. Don't spend it first, miiiinn 🙏🏻🙏🏻🙏🏻 😭😭😭😭",True,,,,,,,results2.json,review 459
553,r*****a,5,2025-01-13 09:44,,Indonesia,"It's really cool, the skirt is comfortable to wear, it's good again, I'll buy another color, but unfortunately it's easy to wrinkle",True,,,,,,,results2.json,review 460
554,l*****d,5,2024-12-01 19:01,,Indonesia,"I've bought the third time, because it's really that good when I've used it, fast packaging and delivery, next time I'll buy another color hehehe",True,,,,,,,results2.json,review 461
555,l*****a,5,2025-03-15 04:42,,Indonesia,"The fabric is really good, it's not see-through, the size is also right for me, the cut also likes poll",True,,,,,,,results2.json,review 462
556,n*****0,5,2025-02-24 20:29,,Indonesia,"The skirt Model is good, the material is also delicious, I like it",True,,,,,,,results2.json,review 463
557,f*****w,5,2025-05-27 17:30,,Indonesia,"The material of the skirt is nice, comfortable, cool, it's so cute, the color is soft too, I like it!",True,,,,,,,results2.json,review 464
558,n*****a,5,2024-09-07 13:22,,Indonesia,"The skirt is really good and the material is also ok, it's thick and it's really cute😍",True,,,,,,,results2.json,review 465
559,a*****i,5,2025-03-10 17:04,,Indonesia,,True,,,,,,,results2.json,review 466
560,a*****t,5,2024-08-29 15:27,,Indonesia,"My height is 162 bb 68
Take size L-XXXL 
It turned out to be too big and a little too long.
Overall, the quality of the material is good and comfortable, because it already has an inner layer so it doesn't see through. Next, just take size M. And the material is very easy to wrinkle. So if you sit down, you have to be in a neat position. And the ironing process must be careful in the folds. Thank you yaa",True,,,,,,,results2.json,review 467
561,a*****a,5,2025-02-02 07:18,,Indonesia,"The skirt is really good, it's really worth the price to get a skirt as beautiful as this, luvvvvv",True,,,,,,,results2.json,review 468
562,n*****a,5,2024-12-03 17:36,,Indonesia,,True,,,,,,,results2.json,review 469
563,m*****a,5,2024-12-20 19:37,,Indonesia,"The skirt is really good, I ordered the s-m one, it's suitable for 55kg bb",True,,,,,,,results2.json,review 470
564,m*****1,5,2025-02-20 15:10,,Indonesia,The best skirt that fits perfectly at 157 bb 50 kg tall beautiful color2 thank you sis,True,,,,,,,results2.json,review 471
565,i*****h,5,2025-05-27 23:20,,Indonesia,,True,,,,,,,results2.json,review 472
566,s*****a,5,2025-03-04 21:32,,Indonesia,,True,,,,,,,results2.json,review 473
567,y*****0,5,2025-01-11 10:06,,Indonesia,"The skirt is so cute, I really like it, I don't see it, I like it",True,,,,,,,results2.json,review 474
568,b*****a,5,2025-06-18 14:16,,Indonesia,"Really good, worth it at that price, regret it if it doesn't work",True,,,,,,,results2.json,review 475
569,i*****9,5,2024-10-27 18:30,,Indonesia,It's really good for me who has a bb of 40 tb 156 the material is also good,True,,,,,,,results2.json,review 476
570,a*****a,5,2025-03-07 21:16,,Indonesia,The length of the skirt is just right,True,,,,,,,results2.json,review 477
571,p*****r,4,2025-03-14 14:47,,Indonesia,"The material is good, not thin, not thick, the delivery is quite fast, the packaging is safe, the skirt and stitching are safe, it's just a shame that the right pocket is small while the left one is big so it's hard to put the item in",True,,,,,,,results2.json,review 478
572,o*****4,5,2025-05-09 23:31,,Indonesia,,True,,,,,,,results2.json,review 479
573,s*****a,5,2025-04-01 22:08,,Indonesia,"Good! If you use it, it doesn't make it look wide.",True,,,,,,,results2.json,review 480
574,a*****i,5,2024-09-09 14:55,,Indonesia,"It's good, the cream color is like the bw color but it's okay, it's not see-through, it's pretty thick too",True,,,,,,,results2.json,review 481
575,u*****y,4,2024-12-15 13:58,,Indonesia,"It's good that I didn't get a video or photo, but it's really good I've bought it 2 times hehe",True,,,,,,,results2.json,review 482
576,d*****2,5,2025-03-11 16:48,,Indonesia,,True,,,,,,,results2.json,review 483
577,y*****h,5,2024-10-06 15:06,,Indonesia,"Too worth the price, because the champion furing makes it less see-through and the skirt grows more",True,,,,,,,results2.json,review 484
578,i*****y,5,2025-02-19 13:15,,Indonesia,"The skirt is so beautiful, and not nerawangg",True,,,,,,,results2.json,review 485
579,y*****a,4,2024-10-14 15:33,,Indonesia,,True,,,,,,,results2.json,review 486
580,d*****4,5,2025-05-23 12:15,,Indonesia,"It's good that the skirt fits at 160 BB 60 kg, it's not see-through because it has puring. Very funny. Tkz",True,,,,,,,results2.json,review 487
581,a*****7,5,2024-09-11 11:38,,Indonesia,The skirt is comfortable to wear. The skirt doesn't hurt. It's good that it's been coated inside again. Love itaaaaa,True,,,,,,,results2.json,review 488
582,y*****1,5,2025-05-09 10:53,,Indonesia,Good...recommended,True,,,,,,,results2.json,review 489
583,l*****n,5,2024-12-30 22:22,,Indonesia,Very suitable for days2,True,,,,,,,results2.json,review 490
584,n*****3,5,2025-06-03 17:19,,Indonesia,,True,,,,,,,results2.json,review 491
585,a*****7,5,2024-09-11 11:34,,Indonesia,"The original color is better. Already have two colors, next time I will buy another color.",True,,,,,,,results2.json,review 492
586,s*****5,4,2025-01-05 18:22,,Indonesia,The rubber is too tight,True,,,,,,,results2.json,review 493
587,a*****h,5,2025-03-20 18:59,,Indonesia,Next buy again with another color,True,,,,,,,results2.json,review 494
588,s*****r,5,2025-01-24 10:41,,Indonesia,"The skirt is very beautiful, I love it",True,,,,,,,results2.json,review 495
589,a*****7,5,2024-11-13 11:38,,Indonesia,Already have 3 colors. Next time I will buy another color.,True,,,,,,,results2.json,review 496
590,a*****i,5,2025-01-05 15:14,,Indonesia,"Good material, it's a bit see-through",True,,,,,,,results2.json,review 497
591,s*****0,5,2025-07-11 20:56,,Indonesia,"It's good, it's the third time I've bought black, cream and I like it.. 🤩🤩",True,,,,,,,results2.json,review 498
592,a*****_,5,2025-03-22 08:40,,Indonesia,"The skirt is suitable for those who are 153cm tall, I don't think I make you look fat + the material is soft✨️",True,,,,,,,results2.json,review 499
